time_s,g5_pitch,ahrs_pitch,accel_pitch,raw_accel_pitch,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,error
632.084650,-8.800000,-9.789891,-16.803782,-13.405367,-0.294440,8.079196,0,233,0,-0.989891
632.283646,-7.710000,-9.812220,-14.430419,-14.926979,-0.072135,10.898572,1,0,1,-2.102220
632.483884,-6.570000,-8.942279,-12.926396,-17.532803,-0.689907,11.640829,0,93,0,-2.372279
632.689506,-5.380000,-8.704005,-14.974695,-16.185511,-1.064107,16.642244,0,37,0,-3.324005
632.883490,-4.300000,-6.213998,-14.974695,-16.185511,-1.132940,19.863842,0,228,0,-1.913998
633.082498,-3.220000,-3.989106,-13.115120,-19.189623,-1.660876,18.167122,0,42,0,-0.769106
633.283508,-2.090000,-4.156928,-13.115120,-19.189623,-1.282445,16.311220,0,238,0,-2.066928
633.480980,-1.030000,-2.709000,-12.755227,-21.217262,-1.282445,7.224515,0,159,0,-1.679000
633.683761,-0.110000,-0.189680,-9.252341,-16.867699,-1.226517,11.064942,1,0,1,-0.079680
633.880581,0.810000,1.116014,-4.575460,-16.204548,-1.764161,8.548730,1,10,1,0.306014
634.088743,1.750000,1.362850,-2.178129,-13.876968,-2.345690,11.838099,0,134,0,-0.387150
634.280416,2.650000,1.968076,-2.178129,-13.876968,-1.980940,12.158216,0,328,0,-0.681924
634.481905,3.510000,2.676515,-2.178129,-13.876968,-1.909036,19.912725,0,534,0,-0.833485
634.680539,4.290000,2.906959,-8.520372,-15.293899,-2.317916,14.583213,0,102,0,-1.383041
634.880806,4.730000,3.487652,-2.248265,-17.328249,-2.018893,13.763832,0,189,0,-1.242348
635.080477,5.010000,4.242371,1.138563,-14.770611,-2.452847,10.069352,1,11,1,-0.767630
635.281576,5.390000,5.597482,-2.781481,-13.245475,-1.955367,18.222536,0,100,0,0.207482
635.481101,5.710000,5.488319,5.088436,-9.603750,-2.280211,5.784366,0,69,0,-0.221681
635.681472,5.750000,7.590106,1.104516,-6.487832,-2.314155,2.546251,0,116,0,1.840106
635.884628,5.670000,6.557623,5.200230,-6.375472,-1.650245,15.808680,0,32,0,0.887623
636.087706,5.700000,6.416086,9.412813,-3.456242,-1.075867,6.352746,0,120,0,0.716086
636.289674,5.820000,6.877839,9.412813,-3.456242,-1.194921,17.173536,0,317,0,1.057839
636.480734,5.900000,6.122446,5.972311,-1.463895,-1.460417,16.966106,0,122,0,0.222445
636.697673,6.000000,5.609915,6.813585,-2.204670,-0.944736,19.876930,0,151,0,-0.390085
