time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
117.881390,0.130000,0.477668,0.048714,nan,-5.957349,1.567184,-0.546782,-1.488740,-0.546782,11.182289,10.704621,0.498658,1,0.347668
118.088509,0.240000,0.862884,0.106851,nan,-6.069396,0.463555,0.106851,-0.316678,0.106851,10.950141,10.087256,6.053117,1,0.622884
118.281490,0.330000,0.487414,0.209829,nan,-39.336346,0.911513,0.209829,-2.401711,0.209829,6.137932,5.650517,1.860157,1,0.157414
118.495507,0.460000,0.332938,0.235621,nan,-37.363121,0.639469,0.206173,0.275143,0.206173,4.705018,4.372080,0.856806,1,-0.127062
118.683921,0.550000,0.446146,0.255644,nan,-25.785921,0.323550,0.255644,3.059909,0.255644,6.718356,6.272210,1.963517,1,-0.103854
118.881381,0.590000,0.767299,0.333285,nan,-2.315427,-0.398959,0.333285,2.254273,0.333285,9.886460,9.119162,4.953405,1,0.177299
119.081409,0.640000,0.229611,0.434562,nan,-1.707370,-1.216988,0.700066,0.663760,0.700066,10.224132,9.994521,0.148738,1,-0.410389
119.282442,0.750000,-0.576381,0.510060,nan,-34.615879,-0.755358,0.510060,5.684118,0.510060,5.223678,5.800059,0.102268,1,-1.326381
119.486652,0.820000,0.481404,0.446422,nan,-12.983938,-0.844560,0.475814,5.444372,0.475814,8.871299,8.389894,1.471039,1,-0.338596
119.688643,0.820000,0.376893,0.532070,nan,-19.608061,-0.845211,0.532070,5.437879,0.532070,7.091609,6.714716,3.087110,1,-0.443107
119.884500,0.880000,1.170625,0.545628,nan,-29.754814,-1.437459,0.545628,5.437879,0.545628,6.125666,4.955040,2.762039,1,0.290625
120.084475,1.010000,1.217281,0.737159,nan,-33.193737,0.264202,0.737159,5.437879,0.737159,5.602248,4.384968,2.012064,1,0.207281
120.293717,0.980000,0.833427,0.731012,nan,-9.780003,-0.623290,0.731012,5.437879,0.731012,8.791969,7.958542,3.418641,1,-0.146573
120.482510,0.910000,-0.088831,0.966562,nan,-26.391619,-0.938552,0.966562,5.437879,0.966562,5.794083,5.882913,1.174621,1,-0.998831
120.682296,0.730000,0.414353,0.937244,nan,-27.918926,-1.275468,0.937244,-4.219087,0.937244,4.506007,4.091654,1.861720,1,-0.315647
