time_s,g5_pitch,ahrs_pitch,accel_pitch,error
176.485842,-6.710000,-8.829222,-10.214020,-2.119222
176.681539,-6.670000,-8.933908,-6.872304,-2.263907
176.881571,-6.710000,-8.795670,-6.892272,-2.085670
177.081548,-6.590000,-8.339776,-8.544941,-1.749776
177.280408,-6.470000,-8.596249,-5.109025,-2.126249
177.483672,-6.500000,-7.554225,-4.554914,-1.054225
177.683494,-6.580000,-8.302966,-4.258792,-1.722966
177.885781,-6.700000,-7.479371,-6.519023,-0.779371
178.082779,-6.610000,-8.009710,-5.152501,-1.399710
178.284635,-6.580000,-7.046874,-7.685033,-0.466874
178.480644,-6.500000,-7.383257,-6.781414,-0.883257
178.684655,-6.460000,-5.858406,-5.608199,0.601594
178.881583,-6.580000,-5.740635,-4.043954,0.839365
179.082551,-6.730000,-4.609991,-3.950521,2.120009
179.281865,-6.760000,-5.195754,-3.931087,1.564246
179.487392,-6.750000,-3.624247,-5.870421,3.125753
179.680755,-6.660000,-4.244603,-5.851156,2.415397
179.889636,-6.470000,-3.546510,-5.888487,2.923489
180.086510,-6.230000,-2.356370,-5.882713,3.873630
180.282492,-6.150000,-2.566331,-4.383160,3.583669
180.500369,-6.160000,-1.027959,-3.213777,5.132041
180.685641,-6.040000,-1.901890,-3.130697,4.138110
180.885638,-5.900000,-1.786303,-9.881945,4.113698
181.082592,-5.830000,-2.147819,-9.817276,3.682181
181.281883,-5.920000,-2.271691,-8.720325,3.648309
181.501354,-6.020000,-2.857295,-7.393950,3.162705
181.693625,-6.010000,-3.997115,-6.012085,2.012885
181.884777,-5.990000,-5.093039,-9.272546,0.896961
182.083802,-6.000000,-5.061465,-8.556671,0.938535
182.281899,-6.000000,-4.476564,-8.871751,1.523436
182.523887,-6.130000,-4.834504,-8.871751,1.295496
182.686508,-6.450000,-5.368402,-11.291167,1.081598
182.882860,-6.750000,-5.321165,-9.438211,1.428835
183.088637,-6.820000,-5.058393,-10.024530,1.761608
183.284511,-6.730000,-5.191832,-7.788233,1.538168
183.544287,-6.860000,-4.915010,-1.454617,1.944990
183.681628,-6.880000,-5.328441,-4.447581,1.551559
183.881571,-6.900000,-5.648831,-4.536649,1.251169
184.081587,-6.930000,-5.171256,-3.957942,1.758744
184.281574,-6.960000,-4.874169,-6.435190,2.085831
184.481585,-6.960000,-6.005038,-6.999238,0.954962
184.685550,-6.930000,-6.020985,-5.846544,0.909015
184.882569,-6.820000,-5.283991,-8.786140,1.536009
185.080749,-6.830000,-5.676833,-8.788943,1.153167
185.280752,-6.970000,-6.070111,-7.793454,0.899889
185.486861,-7.090000,-6.899295,-10.571680,0.190705
185.683483,-7.020000,-6.296902,-9.839033,0.723098
185.885493,-6.900000,-5.561540,-11.381632,1.338460
186.081572,-6.810000,-5.932110,-14.206961,0.877890
186.282158,-6.810000,-5.164393,-14.547381,1.645607
186.481486,-6.660000,-5.646667,-14.538980,1.013333
186.680408,-6.530000,-6.790094,-14.874173,-0.260094
186.880524,-6.450000,-6.105830,-13.634378,0.344170
187.082564,-6.450000,-5.441470,-13.592315,1.008530
187.283475,-6.340000,-5.838909,-11.391129,0.501091
187.482136,-6.350000,-6.062447,-10.386802,0.287553
187.684513,-6.450000,-4.754009,-1.619682,1.695991
187.880406,-6.440000,-5.301206,-2.665515,1.138794
188.080541,-6.360000,-5.236477,-4.186237,1.123523
188.282495,-6.380000,-5.084340,-3.953851,1.295660
188.481959,-6.370000,-5.487409,-5.284180,0.882591
188.681902,-6.340000,-4.937939,-5.931128,1.402061
188.881697,-6.280000,-4.176415,-7.680692,2.103585
189.081572,-6.280000,-4.799603,-4.576635,1.480397
189.281609,-6.340000,-4.309473,-3.176442,2.030527
189.480738,-6.380000,-3.181302,-5.568526,3.198699
189.695507,-6.340000,-2.271327,-5.053606,4.068673
189.880506,-6.420000,-1.741016,-2.535672,4.678985
190.083759,-6.320000,-2.573852,-4.366560,3.746149
190.280749,-6.190000,-2.351730,-6.106301,3.838270
190.483504,-6.160000,-1.284327,-7.654446,4.875673
190.681629,-6.080000,-0.052164,-4.352320,6.027836
190.880665,-6.070000,-1.068407,-7.258801,5.001593
191.081586,-6.060000,-1.262883,-11.562219,4.797117
191.285732,-6.020000,-2.041057,-14.202200,3.978943
191.486153,-6.030000,-1.370211,-15.922566,4.659790
191.680419,-6.060000,-1.613976,-14.352159,4.446024
191.880713,-6.010000,-2.145571,-10.490081,3.864429
192.085638,-5.900000,-1.469428,-8.377062,4.430572
192.281592,-5.860000,-1.642309,-8.377062,4.217691
192.482571,-5.750000,-0.995700,-8.377062,4.754301
192.681635,-5.640000,-1.405018,-8.377062,4.234982
192.886619,-5.710000,-1.432614,-8.377062,4.277386
193.083656,-5.820000,-2.652699,-8.377062,3.167301
193.282562,-5.810000,-2.599055,-21.078907,3.210945
193.481819,-5.770000,-3.399379,-22.977859,2.370621
193.684170,-5.770000,-2.539135,-22.810925,3.230865
193.883668,-5.810000,-2.279818,-22.985304,3.530182
194.084685,-5.760000,-2.236219,-22.985304,3.523781
194.283499,-5.710000,-2.142012,-19.871752,3.567988
194.481788,-5.750000,-2.221504,-16.686691,3.528496
194.689126,-5.890000,-1.803760,-13.524834,4.086240
194.880892,-6.000000,0.324484,-13.906318,6.324484
195.084635,-6.050000,-0.499944,-12.656178,5.550056
